2018-07-14 08:44:14 INFO  OriginationTest:114 - log4j properties filepath: D:\Amarnath\TestNG\Artifacts\Settings\log4j.properties
2018-07-14 08:44:20 INFO  DriverManager:63 - Chrome has been opned for testing
2018-07-14 08:44:20 INFO  OriginationTest:86 - main : ChromeDriver: chrome on XP (d15a124f95670c4fd75886c316bca101)
2018-07-14 08:44:20 INFO  OriginationTest:91 - Level1 :ChromeDriver: chrome on XP (d15a124f95670c4fd75886c316bca101)
2018-07-14 08:44:20 INFO  GoogleModuleSteps:26 - Level2 :ChromeDriver: chrome on XP (d15a124f95670c4fd75886c316bca101)
2018-07-14 08:44:46 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (d15a124f95670c4fd75886c316bca101)] -> xpath: //input[@aria-label='Google Search']] found
2018-07-14 08:44:46 INFO  GoogleSearch:19 - Is On Home Page
2018-07-14 08:44:46 INFO  GoogleModuleSteps:39 - Level2 :ChromeDriver: chrome on XP (d15a124f95670c4fd75886c316bca101)
2018-07-14 08:44:46 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (d15a124f95670c4fd75886c316bca101)] -> xpath: //input[@title='Search']] found
2018-07-14 08:44:46 INFO  PageObject:65 - Data has been sent to Element
2018-07-14 08:44:46 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (d15a124f95670c4fd75886c316bca101)] -> xpath: //input[@aria-label='Google Search']] found
2018-07-14 08:44:49 INFO  PageObject:93 - Clicked on the element [[ChromeDriver: chrome on XP (d15a124f95670c4fd75886c316bca101)] -> xpath: //input[@aria-label='Google Search']]
2018-07-14 08:44:49 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (d15a124f95670c4fd75886c316bca101)] -> xpath: //*[contains(@id,'hdtbSum')]] found
2018-07-14 08:44:49 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (d15a124f95670c4fd75886c316bca101)] -> xpath: //*[contains(@id,'hdtbSum')]] found
2018-07-14 08:44:49 ERROR ElementLocator:87 -  Exception in finding Element with Xpath : null java.lang.IllegalArgumentException: Cannot find elements when the XPath expression is null.
2018-07-14 08:45:19 ERROR ElementLocator:87 -  Exception in finding Element with Xpath : (//div[contains(@id,'rso')]//div[@class='bkWMgd']//div[@class='g']//h3[@class='r']//a)[0] org.openqa.selenium.TimeoutException: Expected condition failed: waiting for com.helpers.fluentWait$2@2bef51f2 (tried for 30 second(s) with 50 NANOSECONDS interval)
2018-07-14 08:45:19 INFO  OriginationTest:96 - Logs_Into_The_ApplicationForm
2018-07-14 08:45:25 INFO  DriverManager:63 - Chrome has been opned for testing
2018-07-14 08:45:25 INFO  OriginationTest:86 - main : ChromeDriver: chrome on XP (091d7b119565818ba8907956952bf901)
2018-07-14 08:45:25 INFO  OriginationTest:91 - Level1 :ChromeDriver: chrome on XP (091d7b119565818ba8907956952bf901)
2018-07-14 08:45:25 INFO  GoogleModuleSteps:26 - Level2 :ChromeDriver: chrome on XP (091d7b119565818ba8907956952bf901)
2018-07-14 08:45:47 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (091d7b119565818ba8907956952bf901)] -> xpath: //input[@aria-label='Google Search']] found
2018-07-14 08:45:47 INFO  GoogleSearch:19 - Is On Home Page
2018-07-14 08:45:47 INFO  GoogleModuleSteps:39 - Level2 :ChromeDriver: chrome on XP (091d7b119565818ba8907956952bf901)
2018-07-14 08:45:47 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (091d7b119565818ba8907956952bf901)] -> xpath: //input[@title='Search']] found
2018-07-14 08:45:47 INFO  PageObject:65 - Data has been sent to Element
2018-07-14 08:45:47 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (091d7b119565818ba8907956952bf901)] -> xpath: //input[@aria-label='Google Search']] found
2018-07-14 08:45:49 INFO  PageObject:93 - Clicked on the element [[ChromeDriver: chrome on XP (091d7b119565818ba8907956952bf901)] -> xpath: //input[@aria-label='Google Search']]
2018-07-14 08:45:49 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (091d7b119565818ba8907956952bf901)] -> xpath: //*[contains(@id,'hdtbSum')]] found
2018-07-14 08:45:49 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (091d7b119565818ba8907956952bf901)] -> xpath: //*[contains(@id,'hdtbSum')]] found
2018-07-14 08:45:49 ERROR ElementLocator:87 -  Exception in finding Element with Xpath : null java.lang.IllegalArgumentException: Cannot find elements when the XPath expression is null.
