2018-07-14 08:40:35 INFO  OriginationTest:114 - log4j properties filepath: D:\Amarnath\TestNG\Artifacts\Settings\log4j.properties
2018-07-14 08:40:41 INFO  DriverManager:63 - Chrome has been opned for testing
2018-07-14 08:40:41 INFO  OriginationTest:86 - main : ChromeDriver: chrome on XP (0130e76f5efd3fb33f776ca4ea4155c2)
2018-07-14 08:40:41 INFO  OriginationTest:91 - Level1 :ChromeDriver: chrome on XP (0130e76f5efd3fb33f776ca4ea4155c2)
2018-07-14 08:40:41 INFO  GoogleModuleSteps:26 - Level2 :ChromeDriver: chrome on XP (0130e76f5efd3fb33f776ca4ea4155c2)
2018-07-14 08:41:02 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (0130e76f5efd3fb33f776ca4ea4155c2)] -> xpath: //input[@aria-label='Google Search']] found
2018-07-14 08:41:02 INFO  GoogleSearch:19 - Is On Home Page
2018-07-14 08:41:02 INFO  GoogleModuleSteps:39 - Level2 :ChromeDriver: chrome on XP (0130e76f5efd3fb33f776ca4ea4155c2)
2018-07-14 08:41:02 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (0130e76f5efd3fb33f776ca4ea4155c2)] -> xpath: //input[@title='Search']] found
2018-07-14 08:41:02 INFO  PageObject:65 - Data has been sent to Element
2018-07-14 08:41:02 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (0130e76f5efd3fb33f776ca4ea4155c2)] -> xpath: //input[@aria-label='Google Search']] found
2018-07-14 08:41:05 INFO  PageObject:93 - Clicked on the element [[ChromeDriver: chrome on XP (0130e76f5efd3fb33f776ca4ea4155c2)] -> xpath: //input[@aria-label='Google Search']]
2018-07-14 08:41:05 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (0130e76f5efd3fb33f776ca4ea4155c2)] -> xpath: //*[contains(@id,'hdtbSum')]] found
2018-07-14 08:41:05 INFO  fluentWait:62 - Target element : [[ChromeDriver: chrome on XP (0130e76f5efd3fb33f776ca4ea4155c2)] -> xpath: //*[contains(@id,'hdtbSum')]] found
2018-07-14 08:41:05 ERROR ElementLocator:87 -  Exception in finding Element with Xpath : null java.lang.IllegalArgumentException: Cannot find elements when the XPath expression is null.
2018-07-14 08:41:35 ERROR ElementLocator:87 -  Exception in finding Element with Xpath : (//div[contains(@id,'rso')]//div[@class='bkWMgd']//div[@class='g']//h3[@class='r']//a)[0] org.openqa.selenium.TimeoutException: Expected condition failed: waiting for com.helpers.fluentWait$2@2bef51f2 (tried for 30 second(s) with 50 NANOSECONDS interval)
2018-07-14 08:41:35 INFO  OriginationTest:96 - Logs_Into_The_ApplicationForm
2018-07-14 08:41:41 INFO  DriverManager:63 - Chrome has been opned for testing
2018-07-14 08:41:41 INFO  OriginationTest:86 - main : ChromeDriver: chrome on XP (811910a29137b4a66433c172a638462d)
2018-07-14 08:41:41 INFO  OriginationTest:91 - Level1 :ChromeDriver: chrome on XP (811910a29137b4a66433c172a638462d)
2018-07-14 08:41:41 INFO  GoogleModuleSteps:26 - Level2 :ChromeDriver: chrome on XP (811910a29137b4a66433c172a638462d)
