2018-01-21 20:02:33 INFO  TestClass:51 - log4j properties filepath: D:\eclipse-workspace\TestNG\Artifacts\Settings\log4j.properties
2018-01-21 20:02:39 INFO  DriverManager:62 - Chrome has been opned for testing
2018-01-21 20:02:39 INFO  DriverManager:62 - Chrome has been opned for testing
2018-01-21 20:02:39 INFO  OriginationTest:64 - main : ChromeDriver: chrome on XP (e402d60f2e33c78415e33e6bc0a26569)
2018-01-21 20:02:39 INFO  OriginationTest:64 - main : ChromeDriver: chrome on XP (72072016722f6b522fb4cdc6ee133dc0)
2018-01-21 20:02:39 INFO  OriginationTest:70 - Level1 :ChromeDriver: chrome on XP (e402d60f2e33c78415e33e6bc0a26569)
2018-01-21 20:02:39 INFO  OriginationTest:70 - Level1 :ChromeDriver: chrome on XP (72072016722f6b522fb4cdc6ee133dc0)
2018-01-21 20:02:39 INFO  LoginSteps:29 - Level2 :ChromeDriver: chrome on XP (72072016722f6b522fb4cdc6ee133dc0)
2018-01-21 20:02:39 INFO  LoginSteps:29 - Level2 :ChromeDriver: chrome on XP (e402d60f2e33c78415e33e6bc0a26569)
2018-01-21 20:02:39 INFO  LoginSteps:31 - Level3 :ChromeDriver: chrome on XP (72072016722f6b522fb4cdc6ee133dc0)
2018-01-21 20:02:39 INFO  LoginSteps:31 - Level3 :ChromeDriver: chrome on XP (e402d60f2e33c78415e33e6bc0a26569)
2018-01-21 20:02:39 INFO  BasePageofOrigination:17 - Level4 :ChromeDriver: chrome on XP (72072016722f6b522fb4cdc6ee133dc0)
2018-01-21 20:02:39 INFO  BasePageofOrigination:17 - Level4 :ChromeDriver: chrome on XP (e402d60f2e33c78415e33e6bc0a26569)
2018-01-21 20:02:44 INFO  fluentWait:96 - Target element found
2018-01-21 20:02:45 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 20:02:45 INFO  fluentWait:96 - Target element found
2018-01-21 20:02:45 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 20:02:45 INFO  fluentWait:96 - Target element found
2018-01-21 20:02:45 INFO  fluentWait:96 - Target element found
2018-01-21 20:02:45 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 20:02:45 INFO  fluentWait:96 - Target element found
2018-01-21 20:02:45 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 20:02:46 INFO  fluentWait:96 - Target element found
2018-01-21 20:02:59 INFO  WebUIElement:67 - Clicked on the element [[ChromeDriver: chrome on XP (e402d60f2e33c78415e33e6bc0a26569)] -> xpath: //input[@value='Sign In' or @value='Submit'] | (//button[@id='loginButton'] | //input[@value='Login'])]
2018-01-21 20:02:59 INFO  fluentWait:96 - Target element found
2018-01-21 20:02:59 INFO  fluentWait:96 - Target element found
2018-01-21 20:02:59 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 20:03:00 INFO  fluentWait:96 - Target element found
2018-01-21 20:03:01 INFO  WebUIElement:67 - Clicked on the element [[ChromeDriver: chrome on XP (e402d60f2e33c78415e33e6bc0a26569)] -> xpath: //a[@title='Open page']]
2018-01-21 20:03:04 INFO  fluentWait:96 - Target element found
2018-01-21 20:03:04 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 20:03:04 INFO  fluentWait:96 - Target element found
2018-01-21 20:03:04 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 20:03:04 INFO  fluentWait:96 - Target element found
2018-01-21 20:03:04 INFO  WebUIElement:67 - Clicked on the element [[ChromeDriver: chrome on XP (72072016722f6b522fb4cdc6ee133dc0)] -> xpath: //input[@value='Sign In' or @value='Submit'] | (//button[@id='loginButton'] | //input[@value='Login'])]
2018-01-21 20:03:05 INFO  fluentWait:96 - Target element found
2018-01-21 20:03:05 INFO  fluentWait:96 - Target element found
2018-01-21 20:03:05 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 20:03:07 INFO  fluentWait:96 - Target element found
2018-01-21 20:03:07 INFO  WebUIElement:67 - Clicked on the element [[ChromeDriver: chrome on XP (72072016722f6b522fb4cdc6ee133dc0)] -> xpath: //a[@title='Open page']]
2018-01-21 20:03:12 INFO  fluentWait:96 - Target element found
2018-01-21 20:03:12 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 20:03:12 INFO  fluentWait:96 - Target element found
2018-01-21 20:03:12 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 20:03:12 INFO  fluentWait:96 - Target element found
2018-01-21 20:03:20 INFO  WebUIElement:67 - Clicked on the element [[ChromeDriver: chrome on XP (e402d60f2e33c78415e33e6bc0a26569)] -> xpath: //input[@value='Sign In' or @value='Submit'] | (//button[@id='loginButton'] | //input[@value='Login'])]
2018-01-21 20:03:22 INFO  WebUIElement:67 - Clicked on the element [[ChromeDriver: chrome on XP (72072016722f6b522fb4cdc6ee133dc0)] -> xpath: //input[@value='Sign In' or @value='Submit'] | (//button[@id='loginButton'] | //input[@value='Login'])]
