2018-01-21 19:53:54 INFO  TestClass:51 - log4j properties filepath: D:\eclipse-workspace\TestNG\Artifacts\Settings\log4j.properties
2018-01-21 19:54:00 INFO  DriverManager:62 - Chrome has been opned for testing
2018-01-21 19:54:00 INFO  OriginationTest:64 - main : ChromeDriver: chrome on XP (b0050dd50b2a4ab2a2e18c31ddd81f37)
2018-01-21 19:54:00 INFO  OriginationTest:70 - Level1 :ChromeDriver: chrome on XP (b0050dd50b2a4ab2a2e18c31ddd81f37)
2018-01-21 19:54:00 INFO  LoginSteps:29 - Level2 :ChromeDriver: chrome on XP (b0050dd50b2a4ab2a2e18c31ddd81f37)
2018-01-21 19:54:00 INFO  LoginSteps:31 - Level3 :ChromeDriver: chrome on XP (b0050dd50b2a4ab2a2e18c31ddd81f37)
2018-01-21 19:54:00 INFO  BasePageofOrigination:17 - Level4 :ChromeDriver: chrome on XP (b0050dd50b2a4ab2a2e18c31ddd81f37)
2018-01-21 19:54:00 INFO  DriverManager:62 - Chrome has been opned for testing
2018-01-21 19:54:00 INFO  OriginationTest:64 - main : ChromeDriver: chrome on XP (99be2517d67e6564090d26e11289647a)
2018-01-21 19:54:00 INFO  OriginationTest:70 - Level1 :ChromeDriver: chrome on XP (99be2517d67e6564090d26e11289647a)
2018-01-21 19:54:00 INFO  LoginSteps:29 - Level2 :ChromeDriver: chrome on XP (99be2517d67e6564090d26e11289647a)
2018-01-21 19:54:00 INFO  LoginSteps:31 - Level3 :ChromeDriver: chrome on XP (99be2517d67e6564090d26e11289647a)
2018-01-21 19:54:00 INFO  BasePageofOrigination:17 - Level4 :ChromeDriver: chrome on XP (99be2517d67e6564090d26e11289647a)
2018-01-21 19:54:08 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:08 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 19:54:09 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:09 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 19:54:09 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:13 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:13 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 19:54:13 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:14 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 19:54:14 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:25 INFO  WebUIElement:67 - Clicked on the element [[ChromeDriver: chrome on XP (b0050dd50b2a4ab2a2e18c31ddd81f37)] -> xpath: //input[@value='Sign In' or @value='Submit'] | (//button[@id='loginButton'] | //input[@value='Login'])]
2018-01-21 19:54:25 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:25 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:26 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 19:54:29 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:29 INFO  WebUIElement:67 - Clicked on the element [[ChromeDriver: chrome on XP (b0050dd50b2a4ab2a2e18c31ddd81f37)] -> xpath: //a[@title='Open page']]
2018-01-21 19:54:32 INFO  WebUIElement:67 - Clicked on the element [[ChromeDriver: chrome on XP (99be2517d67e6564090d26e11289647a)] -> xpath: //input[@value='Sign In' or @value='Submit'] | (//button[@id='loginButton'] | //input[@value='Login'])]
2018-01-21 19:54:32 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:32 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:32 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:32 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 19:54:32 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 19:54:33 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:33 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 19:54:33 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:36 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:36 INFO  WebUIElement:67 - Clicked on the element [[ChromeDriver: chrome on XP (99be2517d67e6564090d26e11289647a)] -> xpath: //a[@title='Open page']]
2018-01-21 19:54:43 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:43 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 19:54:43 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:43 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 19:54:43 INFO  fluentWait:96 - Target element found
2018-01-21 19:54:57 INFO  WebUIElement:67 - Clicked on the element [[ChromeDriver: chrome on XP (b0050dd50b2a4ab2a2e18c31ddd81f37)] -> xpath: //input[@value='Sign In' or @value='Submit'] | (//button[@id='loginButton'] | //input[@value='Login'])]
2018-01-21 19:54:59 INFO  WebUIElement:67 - Clicked on the element [[ChromeDriver: chrome on XP (99be2517d67e6564090d26e11289647a)] -> xpath: //input[@value='Sign In' or @value='Submit'] | (//button[@id='loginButton'] | //input[@value='Login'])]
