2018-01-21 19:21:54 INFO  TestClass:56 - log4j properties filepath: D:\eclipse-workspace\TestNG\Artifacts\Settings\log4j.properties
2018-01-21 19:22:00 INFO  DriverManager:62 - Chrome has been opned for testing
2018-01-21 19:22:00 INFO  OriginationTest:64 - main : ChromeDriver: chrome on XP (d64ad99771f4dc537888b6e35805dcd4)
2018-01-21 19:22:00 INFO  OriginationTest:70 - Level1 :ChromeDriver: chrome on XP (d64ad99771f4dc537888b6e35805dcd4)
2018-01-21 19:22:00 INFO  LoginSteps:27 - Level2 :ChromeDriver: chrome on XP (d64ad99771f4dc537888b6e35805dcd4)
2018-01-21 19:22:00 INFO  LoginSteps:31 - Level3 :ChromeDriver: chrome on XP (d64ad99771f4dc537888b6e35805dcd4)
2018-01-21 19:22:00 INFO  BasePageofOrigination:17 - Level4 :ChromeDriver: chrome on XP (d64ad99771f4dc537888b6e35805dcd4)
2018-01-21 19:22:05 INFO  fluentWait:96 - Target element found
2018-01-21 19:22:05 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 19:22:05 INFO  fluentWait:96 - Target element found
2018-01-21 19:22:05 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 19:22:05 INFO  fluentWait:96 - Target element found
2018-01-21 19:22:15 INFO  WebUIElement:67 - Clicked on the element [[ChromeDriver: chrome on XP (d64ad99771f4dc537888b6e35805dcd4)] -> xpath: //input[@value='Sign In' or @value='Submit'] | (//button[@id='loginButton'] | //input[@value='Login'])]
2018-01-21 19:22:15 INFO  fluentWait:96 - Target element found
2018-01-21 19:22:15 INFO  fluentWait:96 - Target element found
2018-01-21 19:22:15 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 19:22:16 INFO  fluentWait:96 - Target element found
2018-01-21 19:22:17 INFO  WebUIElement:67 - Clicked on the element [[ChromeDriver: chrome on XP (d64ad99771f4dc537888b6e35805dcd4)] -> xpath: //a[@title='Open page']]
2018-01-21 19:22:20 INFO  fluentWait:96 - Target element found
2018-01-21 19:22:20 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 19:22:20 INFO  fluentWait:96 - Target element found
2018-01-21 19:22:20 INFO  WebUIElement:39 - Data has been sent to Element
2018-01-21 19:22:20 INFO  fluentWait:96 - Target element found
2018-01-21 19:22:30 INFO  WebUIElement:67 - Clicked on the element [[ChromeDriver: chrome on XP (d64ad99771f4dc537888b6e35805dcd4)] -> xpath: //input[@value='Sign In' or @value='Submit'] | (//button[@id='loginButton'] | //input[@value='Login'])]
