2018-03-02 18:18:06 INFO  GenericUtilities:66 - log4j properties filepath: D:\eclipse-workspace\SerenityCuCu\Artifacts\Settings\log4j.properties
2018-03-02 18:18:07 INFO  ExecutionSettings:275 - WARNING: ABORTEXECUTIONIFCHECKPOINTFAILS is turned OFF in TestSuiteExecutionSettings. Hence setting continueTestcaseRun to true. Turn this ON to save on the execution time
2018-03-02 18:18:07 INFO  ExecutionSettings:275 - WARNING: ABORTEXECUTIONIFCHECKPOINTFAILS is turned OFF in TestSuiteExecutionSettings. Hence setting continueTestcaseRun to true. Turn this ON to save on the execution time
2018-03-02 18:18:10 INFO  ExcelUtilities:113 - Total Number Of sheets in WorkBook org.apache.poi.POIXMLProperties@9255c05null2
2018-03-02 18:18:10 INFO  GenericSteps:30 - The test Data Used is : {EXECUTE=YES, UNIQUETESTCASEID=2, APPLICATIONTYPE=Application, FIRSTPRODUCTTYPE_IFNOTREQUIREDGIVENA=Deposit, FITSTPRODUCTOFFERTYPE=Westpac Transaction, SECONDPRODUCTTYPE_IFNOTREQUIREDGIVENA=NA, SECONDPRODUCTOFFERTYPE=NA}
2018-03-02 18:18:33 INFO  ElementLocator:56 - xpath : //input[@placeholder='Username']
2018-03-02 18:18:34 INFO  ElementLocator:56 - xpath : //input[@placeholder='Password']
2018-03-02 18:18:34 INFO  ElementLocator:56 - xpath : //input[@value='Sign In' or @value='Submit'] | (//button[@id='loginButton'] | //input[@value='Login'])
2018-03-02 18:18:44 INFO  ElementLocator:56 - xpath : //a[text()='Application']
2018-03-02 18:18:50 INFO  ElementLocator:56 - xpath : //a[text()='Deposit']
2018-03-02 18:18:56 INFO  ElementLocator:56 - xpath : //span[.='Westpac Transaction']/ancestor::td/following-sibling::td//a[@title='Add Product Group']
2018-03-02 18:19:02 INFO  ElementLocator:56 - xpath : //td[.='Start Application']
