2018-02-01 20:33:19 INFO  GenericUtilities:66 - log4j properties filepath: D:\eclipse-workspace\SerenityCuCu\Artifacts\Settings\log4j.properties
2018-02-01 20:33:20 INFO  ExecutionSettings:275 - WARNING: ABORTEXECUTIONIFCHECKPOINTFAILS is turned OFF in TestSuiteExecutionSettings. Hence setting continueTestcaseRun to true. Turn this ON to save on the execution time
2018-02-01 20:33:20 INFO  ExecutionSettings:275 - WARNING: ABORTEXECUTIONIFCHECKPOINTFAILS is turned OFF in TestSuiteExecutionSettings. Hence setting continueTestcaseRun to true. Turn this ON to save on the execution time
2018-02-01 20:33:23 INFO  ExcelUtilities:113 - Total Number Of sheets in WorkBook org.apache.poi.POIXMLProperties@9255c05null2
2018-02-01 20:33:23 INFO  GenericSteps:30 - The test Data Used is : {EXECUTE=YES, UNIQUETESTCASEID=1, APPLICATIONTYPE=In Principle Approval, FIRSTPRODUCTTYPE_IFNOTREQUIREDGIVENA=Lending, FITSTPRODUCTOFFERTYPE=Westpac Home Loan, SECONDPRODUCTTYPE_IFNOTREQUIREDGIVENA=Deposit, SECONDPRODUCTOFFERTYPE=Westpac Transaction}
2018-02-01 20:33:41 INFO  ElementLocator:56 - xpath : //input[@placeholder='Username']
2018-02-01 20:33:41 INFO  ElementLocator:56 - xpath : //input[@placeholder='Password']
2018-02-01 20:33:42 INFO  ElementLocator:56 - xpath : //input[@value='Sign In' or @value='Submit'] | (//button[@id='loginButton'] | //input[@value='Login'])
2018-02-01 20:33:49 INFO  ElementLocator:56 - xpath : //input[@placeholder='Fast Path']
2018-02-01 20:33:50 INFO  ElementLocator:56 - xpath : //input[@placeholder='Fast Path']
2018-02-01 20:33:50 INFO  ElementLocator:56 - xpath : //a[@title='Open page']
2018-02-01 20:33:58 INFO  ElementLocator:56 - xpath : //input[@placeholder='Username']
2018-02-01 20:34:03 INFO  ElementLocator:56 - xpath : //input[@placeholder='Password']
2018-02-01 20:34:08 INFO  ElementLocator:56 - xpath : //input[@value='Sign In' or @value='Submit'] | (//button[@id='loginButton'] | //input[@value='Login'])
2018-02-01 20:34:16 INFO  ElementLocator:56 - xpath : //a[text()='In Principle Approval']
2018-02-01 20:34:22 INFO  ElementLocator:56 - xpath : //a[text()='Lending']
2018-02-01 20:34:27 INFO  ElementLocator:56 - xpath : //span[.='Westpac Home Loan']/ancestor::td/following-sibling::td//a[@title='Add Product Group']
2018-02-01 20:34:33 INFO  ElementLocator:56 - xpath : //a[text()='Deposit']
2018-02-01 20:34:38 INFO  ElementLocator:56 - xpath : //span[.='Westpac Transaction']/ancestor::td/following-sibling::td//a[@title='Add Product Group']
2018-02-01 20:34:43 INFO  ElementLocator:56 - xpath : //td[.='Start Application']
