2018-03-02 18:18:05 INFO  GenericUtilities:66 - log4j properties filepath: D:\eclipse-workspace\SerenityCuCu\Artifacts\Settings\log4j.properties
2018-03-02 18:18:06 INFO  ExecutionSettings:275 - WARNING: ABORTEXECUTIONIFCHECKPOINTFAILS is turned OFF in TestSuiteExecutionSettings. Hence setting continueTestcaseRun to true. Turn this ON to save on the execution time
2018-03-02 18:18:06 INFO  ExecutionSettings:275 - WARNING: ABORTEXECUTIONIFCHECKPOINTFAILS is turned OFF in TestSuiteExecutionSettings. Hence setting continueTestcaseRun to true. Turn this ON to save on the execution time
2018-03-02 18:18:10 INFO  ExcelUtilities:113 - Total Number Of sheets in WorkBook org.apache.poi.POIXMLProperties@4a0df195null2
2018-03-02 18:18:10 INFO  GenericSteps:30 - The test Data Used is : {EXECUTE=YES, UNIQUETESTCASEID=1, APPLICATIONTYPE=In Principle Approval, FIRSTPRODUCTTYPE_IFNOTREQUIREDGIVENA=Lending, FITSTPRODUCTOFFERTYPE=Westpac Home Loan, SECONDPRODUCTTYPE_IFNOTREQUIREDGIVENA=Deposit, SECONDPRODUCTOFFERTYPE=Westpac Transaction}
2018-03-02 18:18:25 INFO  ElementLocator:56 - xpath : //input[@placeholder='Username']
2018-03-02 18:18:25 INFO  ElementLocator:56 - xpath : //input[@placeholder='Password']
2018-03-02 18:18:25 INFO  ElementLocator:56 - xpath : //input[@value='Sign In' or @value='Submit'] | (//button[@id='loginButton'] | //input[@value='Login'])
2018-03-02 18:18:36 INFO  ElementLocator:56 - xpath : //a[text()='In Principle Approval']
2018-03-02 18:18:42 INFO  ElementLocator:56 - xpath : //a[text()='Lending']
2018-03-02 18:18:48 INFO  ElementLocator:56 - xpath : //span[.='Westpac Home Loan']/ancestor::td/following-sibling::td//a[@title='Add Product Group']
2018-03-02 18:18:53 INFO  ElementLocator:56 - xpath : //a[text()='Deposit']
2018-03-02 18:18:59 INFO  ElementLocator:56 - xpath : //span[.='Westpac Transaction']/ancestor::td/following-sibling::td//a[@title='Add Product Group']
2018-03-02 18:19:04 INFO  ElementLocator:56 - xpath : //td[.='Start Application']
